[LOG] INFO [IExchangeSimulator::setLoggerLogFile] Logger log file set to: RegressionTests/Baseline/ZeroIntelligenceSimulatorSimpleSantaFeModelLargeTime.baseline.txt
[LOG] INFO Lobster messages:
    time,    type,     oid,     qty,      px,     dir
   57426,       3,    1011,       1,10130000,      -1
   57432,       1,   11277,       1, 9870000,       1
   57437,       4,   11278,       1,10020000,       1
   57444,       4,   11279,       1, 9970000,      -1
   57449,       3,   11062,       1, 9900000,       1
   57453,       2,       9,       1, 9900000,       1
   57457,       3,   11253,       1, 9850000,       1
   57461,       3,   11271,       1, 9960000,       1
   57467,       1,   11280,       1,10190000,      -1
   57470,       3,   11116,       1, 9810000,       1
   57474,       2,    1021,       1,10230000,      -1
   57478,       3,   11031,       1,10180000,      -1
   57484,       1,   11281,       1, 9960000,       1
   57489,       1,   11282,       1,10260000,      -1
   57492,       2,      10,       1, 9890000,       1
   57498,       4,   11283,       1, 9960000,      -1
   57503,       2,    1014,       1,10160000,      -1
   57507,       3,    1012,       1,10140000,      -1
   57511,       3,   11038,       1, 9890000,       1
   57517,       1,   11284,       1, 9960000,       1
   57522,       1,   11285,       1,10080000,      -1
   57527,       1,   11286,       1,10130000,      -1
   57532,       1,   11287,       1, 9950000,       1
   57537,       1,   11288,       1,10190000,      -1
   57542,       1,   11289,       1,10250000,      -1
   57545,       3,   11133,       1,10230000,      -1
   57551,       4,   11290,       1,10080000,       1
   57558,       1,   11291,       1, 9920000,       1
   57563,       1,   11292,       1,10190000,      -1
   57566,       3,   11145,       1,10230000,      -1
   57572,       1,   11293,       1, 9990000,      -1
   57575,       3,   11150,       1,10150000,      -1
   57581,       1,   11294,       1, 9750000,       1
   57586,       1,   11295,       1,10120000,      -1
   57589,       3,   11037,       1,10180000,      -1
   57593,       2,      24,       1, 9750000,       1
   57599,       1,   11296,       1,10210000,      -1
   57604,       1,   11297,       1, 9940000,       1
   57607,       3,   11067,       1, 9890000,       1
   57611,       2,      29,       1, 9700000,       1
   57617,       1,   11298,       1, 9930000,       1
   57622,       1,   11299,       1,10000000,      -1
   57627,       4,   11300,       1, 9960000,      -1
   57634,       1,   11301,       1,10190000,      -1
   57637,       2,      12,       1, 9870000,       1
   57641,       3,   11050,       1,10180000,      -1
   57647,       1,   11302,       1, 9900000,       1
   57650,       3,   11198,       1,10220000,      -1
   57654,       3,   11099,       1, 9860000,       1
   57660,       1,   11303,       1, 9940000,       1
   57665,       1,   11304,       1,10010000,      -1
   57670,       1,   11305,       1, 9750000,       1
   57673,       2,      21,       1, 9780000,       1
   57679,       4,   11306,       1, 9990000,       1
   57686,       1,   11307,       1,10160000,      -1
   57691,       1,   11308,       1, 9910000,       1
   57696,       4,   11309,       1,10000000,       1
   57701,       3,   11245,       1,10140000,      -1
   57705,       3,    1010,       1,10120000,      -1
   57709,       3,   11153,       1,10160000,      -1
   57715,       1,   11310,       1, 9890000,       1
   57720,       1,   11311,       1,10150000,      -1
   57725,       4,   11312,       1, 9950000,      -1
   57732,       1,   11313,       1,10150000,      -1
   57737,       1,   11314,       1, 9770000,       1
   57742,       4,   11315,       1,10010000,       1
   57749,       1,   11316,       1,10080000,      -1
   57754,       1,   11317,       1, 9980000,      -1
   57757,       3,   11210,       1,10200000,      -1
   57763,       1,   11318,       1, 9800000,       1
   57766,       2,      11,       1, 9880000,       1
   57770,       3,   11159,       1, 9860000,       1
   57776,       4,   11319,       1, 9940000,      -1
   57783,       4,   11320,       1, 9940000,      -1
   57788,       3,   11165,       1, 9750000,       1
   57794,       4,   11321,       1, 9980000,       1
   57799,       2,    1016,       1,10180000,      -1
   57805,       1,   11322,       1, 9800000,       1
   57810,       4,   11323,       1,10080000,       1
   57817,       1,   11324,       1, 9880000,       1
   57822,       1,   11325,       1,10180000,      -1
   57827,       1,   11326,       1,10190000,      -1
   57832,       4,   11327,       1, 9930000,      -1
   57839,       1,   11328,       1,10050000,      -1
   57844,       1,   11329,       1, 9910000,       1
   57849,       1,   11330,       1,10090000,      -1
   57852,       3,   11182,       1, 9900000,       1
   57856,       3,   11298,       1, 9930000,       1
   57862,       4,   11331,       1,10050000,       1
   57867,       3,   11121,       1,10210000,      -1
   57873,       1,   11332,       1, 9870000,       1
   57878,       1,   11333,       1,10040000,       1
   57881,       2,    1031,       1,10330000,      -1
   57885,       3,    1009,       1,10110000,      -1
   57891,       1,   11334,       1,10120000,      -1
   57896,       4,   11335,       1,10040000,      -1
   57903,       4,   11336,       1, 9920000,      -1
   57908,       3,   11236,       1,10120000,      -1
   57912,       3,   11308,       1, 9910000,       1
   57918,       1,   11337,       1, 9890000,       1
   57923,       1,   11338,       1, 9840000,       1
   57928,       1,   11339,       1,10100000,      -1
   57933,       1,   11340,       1, 9830000,       1
   57938,       4,   11341,       1, 9910000,      -1
   57945,       1,   11342,       1, 9980000,       1
   57948,       3,   11246,       1,10120000,      -1
   57954,       1,   11343,       1, 9830000,       1
   57957,       3,   11227,       1,10230000,      -1
   57961,       3,   11123,       1,10210000,      -1
   57967,       1,   11344,       1,10130000,      -1
